Markov Baseline 评估结果
==================================================

样本 000: UID=7, 长度=181, 得分=0.335194
样本 001: UID=9, 长度=125, 得分=0.312616
样本 002: UID=15, 长度=321, 得分=0.193891
样本 003: UID=17, 长度=194, 得分=0.033885
样本 004: UID=20, 长度=90, 得分=0.095284
样本 005: UID=23, 长度=75, 得分=0.102251
样本 006: UID=27, 长度=110, 得分=0.261901
样本 007: UID=35, 长度=105, 得分=0.000001
样本 008: UID=40, 长度=153, 得分=0.061352
样本 009: UID=47, 长度=194, 得分=0.063912
样本 010: UID=49, 长度=172, 得分=0.004209
样本 011: UID=52, 长度=212, 得分=0.394688
样本 012: UID=57, 长度=331, 得分=0.196191
样本 013: UID=58, 长度=128, 得分=0.112396
样本 014: UID=61, 长度=193, 得分=0.023028
样本 015: UID=77, 长度=177, 得分=0.000023
样本 016: UID=80, 长度=118, 得分=0.016209
样本 017: UID=83, 长度=230, 得分=0.330815
样本 018: UID=84, 长度=125, 得分=0.001149
样本 019: UID=85, 长度=178, 得分=0.009023
样本 020: UID=87, 长度=191, 得分=0.268016
样本 021: UID=93, 长度=217, 得分=0.054822
样本 022: UID=97, 长度=201, 得分=0.009691
样本 023: UID=115, 长度=111, 得分=0.000421
样本 024: UID=117, 长度=146, 得分=0.010208
样本 025: UID=120, 长度=126, 得分=0.104972
样本 026: UID=128, 长度=160, 得分=0.379747
样本 027: UID=131, 长度=200, 得分=0.001979
样本 028: UID=132, 长度=120, 得分=0.038453
样本 029: UID=143, 长度=134, 得分=0.018928
样本 030: UID=145, 长度=224, 得分=0.017776
样本 031: UID=150, 长度=126, 得分=0.022175
样本 032: UID=155, 长度=349, 得分=0.095086
样本 033: UID=160, 长度=117, 得分=0.026649
样本 034: UID=173, 长度=119, 得分=0.033798
样本 035: UID=176, 长度=196, 得分=0.046558
样本 036: UID=180, 长度=288, 得分=0.000036
样本 037: UID=196, 长度=178, 得分=0.033084
样本 038: UID=201, 长度=99, 得分=0.119166
样本 039: UID=207, 长度=181, 得分=0.012390
样本 040: UID=211, 长度=113, 得分=0.030223
样本 041: UID=213, 长度=106, 得分=0.021469
样本 042: UID=215, 长度=280, 得分=0.024243
样本 043: UID=222, 长度=82, 得分=0.004357
样本 044: UID=226, 长度=192, 得分=0.010695
样本 045: UID=233, 长度=164, 得分=0.254661
样本 046: UID=240, 长度=247, 得分=0.004843
样本 047: UID=242, 长度=151, 得分=0.024811
样本 048: UID=244, 长度=621, 得分=0.449890
样本 049: UID=255, 长度=226, 得分=0.078256
样本 050: UID=258, 长度=159, 得分=0.001529
样本 051: UID=265, 长度=368, 得分=0.290261
样本 052: UID=270, 长度=143, 得分=0.023046
样本 053: UID=275, 长度=199, 得分=0.000000
样本 054: UID=281, 长度=143, 得分=0.076599
样本 055: UID=292, 长度=287, 得分=0.230252
样本 056: UID=304, 长度=138, 得分=0.006970
样本 057: UID=314, 长度=120, 得分=0.429431
样本 058: UID=316, 长度=122, 得分=0.122730
样本 059: UID=318, 长度=135, 得分=0.031740
样本 060: UID=319, 长度=121, 得分=0.011875
样本 061: UID=330, 长度=310, 得分=0.002598
样本 062: UID=333, 长度=300, 得分=0.001251
样本 063: UID=335, 长度=137, 得分=0.027731
样本 064: UID=344, 长度=109, 得分=0.045082
样本 065: UID=349, 长度=89, 得分=0.001176
样本 066: UID=350, 长度=172, 得分=0.216975
样本 067: UID=351, 长度=173, 得分=0.000334
样本 068: UID=354, 长度=179, 得分=0.044480
样本 069: UID=364, 长度=182, 得分=0.017318
样本 070: UID=366, 长度=287, 得分=0.020199
样本 071: UID=368, 长度=277, 得分=0.000000
样本 072: UID=375, 长度=211, 得分=0.229314
样本 073: UID=376, 长度=196, 得分=0.035650
样本 074: UID=381, 长度=197, 得分=0.145759
样本 075: UID=393, 长度=142, 得分=0.062099
样本 076: UID=403, 长度=178, 得分=0.003942
样本 077: UID=414, 长度=168, 得分=0.192005
样本 078: UID=421, 长度=112, 得分=0.000158
样本 079: UID=426, 长度=268, 得分=0.011121
样本 080: UID=433, 长度=355, 得分=0.036805
样本 081: UID=443, 长度=216, 得分=0.009425
样本 082: UID=445, 长度=332, 得分=0.371613
样本 083: UID=447, 长度=212, 得分=0.008454
样本 084: UID=450, 长度=133, 得分=0.187959
样本 085: UID=453, 长度=126, 得分=0.130171
样本 086: UID=458, 长度=480, 得分=0.184524
样本 087: UID=460, 长度=142, 得分=0.034670
样本 088: UID=466, 长度=261, 得分=0.149776
样本 089: UID=475, 长度=262, 得分=0.090699
样本 090: UID=482, 长度=130, 得分=0.181458
样本 091: UID=485, 长度=88, 得分=0.000134
样本 092: UID=486, 长度=308, 得分=0.439026
样本 093: UID=490, 长度=111, 得分=0.038464
样本 094: UID=492, 长度=73, 得分=0.007490
样本 095: UID=494, 长度=163, 得分=0.028319
样本 096: UID=502, 长度=98, 得分=0.001095
样本 097: UID=503, 长度=189, 得分=0.035404
样本 098: UID=506, 长度=261, 得分=0.236477
样本 099: UID=508, 长度=166, 得分=0.050944
样本 100: UID=512, 长度=108, 得分=0.053791
样本 101: UID=514, 长度=76, 得分=0.000031
样本 102: UID=515, 长度=129, 得分=0.025789
样本 103: UID=521, 长度=91, 得分=0.102780
样本 104: UID=526, 长度=255, 得分=0.010735
样本 105: UID=529, 长度=234, 得分=0.168627
样本 106: UID=532, 长度=255, 得分=0.026874
样本 107: UID=533, 长度=124, 得分=0.018056
样本 108: UID=536, 长度=98, 得分=0.008894
样本 109: UID=537, 长度=159, 得分=0.079851
样本 110: UID=544, 长度=184, 得分=0.023718
样本 111: UID=556, 长度=108, 得分=0.017635
样本 112: UID=557, 长度=74, 得分=0.063422
样本 113: UID=559, 长度=181, 得分=0.029705
样本 114: UID=564, 长度=120, 得分=0.139085
样本 115: UID=566, 长度=138, 得分=0.039986
样本 116: UID=577, 长度=129, 得分=0.003464
样本 117: UID=579, 长度=83, 得分=0.017331
样本 118: UID=581, 长度=127, 得分=0.116420
